client_id,facebookbrands
1997394387,"{1999059426,1999111196,1999015367,1999015366,1999015359,1999043982,1999015369,1999043976}"
1997394960,"{1999398150,1999101274,1999101219,1999213834,1999101502,1999101272,1999101266,1999101261,1999101277,1999101281,1999101288,1999101295,1999101301,1999101488,1999101493,1999101498,1999101506,1999101510,1999101514,1999101517,1999101518,1999101520,1999101221,1999101218,1999101215,1999226295,1999101223}"
1841233006,"{1998467091,1808786925}"
1997398952,{1999669108}
1997394513,"{1999311739,1999614699,1999287647}"
1997393768,"{1998948259,1999763664,1999763667,1999763690,1999763670,1999763673,1999763677,1999763693,1999763679,1999763694,1999763696,1999763698,1999763700,1999763702,1999763706,1999763707,1999763708,1999763709,1999763710,1999763713,1999763714,1999763715,1999763717,1999763720,1999763723,1999763725,1999763737,1999763727,1999763726,1999763730,1999763731,1999763733,1999763734,1999763739,1999763740,1999763742,1999763744,1999763745}"
1997398955,"{1999753987,1999753978}"
1997397504,"{1999410431,1999410418,1999406381,1999406384,1999406387,1999410473,1999410502,1999410433,1999410432}"
1997394917,"{1999136286,1999136272,1999136274,1999155980,1999157315,1999095190,1999094899,1999110902,1999139767,1999095227,1999095260,1999206767,1999177217,1999209014,1999331440,1999119064,1999136283,1999101569,1999095277,1999305383,1999292771,1999332615,1999373417,1999373418,1999373419,1999373420,1999385037,1999385039,1999385042,1999385047,1999385025,1999385041,1999384993,1999385036,1999385040,1999385020,1999385016,1999103118,1999617245,1999209015,1999101566,1999101568,1999727087,1999209013,1999331445,1999331442,1999119062,1999119061,1999094832}"
1719407673,"{1999159899,1999564755,1999166107,1999166104,1999166105,1999166106,1999166108,1999166110,1999158816,1999158818,1999158858,1999158819,1999158820,1999158821,1999158822,1999158823,1999158824,1999158825,1999158826,1999169905,1999170020,1999170021,1999170022,1998968368,1971652406,1998201271,1999665192,1999665199,1999665212,1999665290,1999665310,1999665311,1998165415,1998972309,1998972333,1998664848,1998664837,1998928504,1998909970,1998664885,1998884815,1998664850,1998664805,1998909956,1998842206,1998928310,1998909971,1998968369,1998969472,1998842243,1998797093,1998928303,1998842222,1998513724,1998842253,1998928333,1998972326,1998513742,1998513752,1998842234,1998842199,1998823133,1998928427,1998928308,1998928409,1998972296,1998664867,1998842156,1998513723,1998823086,1998928411,1998928311,1998972299,1998928445,1998664869,1998842259,1998909968,1998664809,1998513733,1998928379,1998823101,1998823088,1998972307,1998928397,1998928315,1998972358,1998928399,1998842293,1998664798,1998972353,1998664871,1998928376,1998972311,1998968397,1998664838,1998664823,1998823065,1998972320,1998664814,1998972295,1998972306,1998513729,1998928461,1998842213,1998909958,1998513727,1998842136,1998968366,1998513722,1998664834,1998928512,1998842230,1998667111,1998664889,1998513760,1998664818,1998664855,1998664813,1998513737,1998928388,1998837450,1998928515,1998664870,1998967488,1998972322,1998904338,1998842279,1998842258,1998664820,1998928414,1998909952,1998664807,1998972324,1998909961,1998513736,1998513741,1998972298,1948994189,1998842112,1998842216,1998928322,1998823063,1998842254,1998972356,1998664817,1998928451,1998909962,1998968379,1998513734,1998928412,1998972304,1998991504,1998909963,1998664846,1998665174,1998664877,1998664841,1998664824,1998968367,1998664800,1998909967,1998842162,1998972313,1998928368,1998972316,1998823090,1998972319,1998842117,1998664815,1998928386,1998842211,1998928313,1998842241,1998513725,1998972349,1998667109,1998972308,1998928431,1998972337,1998664831,1998928408,1998823067,1998842167,1998664847,1998928457,1998513740,1998664883,1998972339,1998928425,1998967570,1998842126,1998613103,1998928307,1998842273,1998842277,1998972352,1998513739,1998664819,1998972302,1998842226,1998972305,1998664892,1998513743,1998972332,1998842257,1998933260,1998667048,1998842120,1998928375,1998928401,1998972312,1998972314,1998972325,1998513749,1998842237,1998972318,1998668129,1998968396,1998842151,1998928443,1998715026,1998842270,1998928433,1998842271,1998842130,1998664866,1998664864,1998710110,1998513746,1998822052,1998967512,1998513757,1998972351,1998972297,1998842203,1998823099,1998972340,1998668131,1998664879,1998928390,1998928454,1998664827,1998664839,1998513751,1998823060,1998972317,1998972329,1998664890,1998972331,1998972328,1998972335,1998972355,1998972294,1998989752,1998667110,1998842128,1998928384,1999059078,1998909965,1998664801,1998842132,1998664821,1998928403,1998842190,1998928367,1998664844,1998823091,1999194695,1999184456,1998506964,1999211988,1999211986,1998513667,1998267831,1998513668,1998664830,1999333518,1999448748,1999309683,1999227489,1999303989,1999448752,1999448754,1999448757,1999448760,1999448764,1999448766,1999448770,1948990984,1948993993,1948994378,1948994852,1948997382,1949000050,1949000211,1949064333,1999578124,1999448772,1999448773,1999578148,1999448774,1999448775,1998513710,1999228691,1999448779,1999681778,1999448780,1999448783,1999448785,1999715545,1999448787,1999111475,1999111459,1999111457,1999111464,1999111463,1999448789,1999448791,1999407304,1999289000,1998513694,1999166101,1999278062,1998366160,1999325392,1998842251,1999369740,1999369742,1999369743,1999369744,1998203636,1998220866,1998203635,1998513697,1999504991,1998513678,1999111448,1999111453,1999111473,1998513651,1998513653,1998342044,1998387603,1998366162,1998366163,1998513691,1999166109,1998513689,1999050949,1999050947,1999050948,1998967485,1998247630,1999325386,1999325383,1999325379,1999325378,1999325376,1999172062,1999138467,1998981882,1998797381,1998715004,1998989687,1998713490,1998512247,1998510770,1958236827,1957661660,1957661165,1956988175,1957628021,1971646603,1971649737,1971646406,1971649460,1971646884,1998170672,1998184232,1998207559,1998335711,1998409012,1998989701,1998513713,1999741000,1999554773,1999554790,1999554799,1999558837,1998366159,1998302674,1998367607,1998366161,1998510992,1998513593,1998513703,1998513642,1998513643,1998513645,1998513647,1998513656,1998513658,1998513662,1998513664,1998513670,1998513674,1998513682,1998513685,1998513701,1998513693,1998513699,1999724156,1998520160,1998226078,1998615144,1998173962,1999310154,1999184462,1998520158,1998366520,1998553576,1998166180,1998366158,1998165413,1998513704,1998166175,1999278070,1999726619,1999726620,1999726622,1999726633,1999726623,1999726624,1999726625,1999726629,1999726634,1999726630,1999726632,1998513718,1998513720,1998220867,1999278063,1998445035,1998672467,1999734348,1998233445,1999743331,1999735473,1998634025,1999551824,1999551820,1999551832,1998513705,1998164671,1998246089,1998726431,1998765531,1998765530,1998771522,1999013738,1999019908,1999111451,1999111447,1999111460,1999111461,1999111455}"
1997395690,"{1999185527,1999185576,1999185532,1999185521,1999185540,1999185577,1999185546,1999185548,1999185552,1999556270,1999185487,1999185494,1999530257,1999589544,1999589562,1999589568,1999616352,1999535204,1999185496,1999185501}"
1997391685,"{1999407953,1999407969,1999407963,1999407965,1999407967}"
1997399653,{1999753185}
1997392768,"{1999415797,1998794861}"
1997393100,{1998862557}
1997392236,"{1998986704,1998986707,1998728046}"
1997385906,"{1999247589,1998908832,1998838065,1998882273,1998980512,1999035864,1999035865,1998838061,1999113647,1999343150,1998822796,1998837622,1998837624,1999760567,1998822771,1998822774,1998822770,1998822769,1999432940,1999463997,1999464129,1999467275,1998838062,1998838063,1998838064,1998614670,1999753104,1999753106,1999753108,1998838056,1998822776,1998666417,1998908837,1998908835,1999023415,1999023417}"
1747578639,"{1998153008,1998153011,1998153002,1998268501,1998268497,1998152955,1998153013,1998153012,1993958563,1998153020,1998152989,1968453226,1968452733,1999127869,1999258057,1998222158,1999091772}"
1997393847,{1998964699}
1997387692,"{1998321965,1998321980,1998321981,1998321963,1998321982,1998321962,1998321967,1998321984,1998321983,1998321969,1998321975,1998321959,1998321960,1998321977,1998321973,1998408831,1999577338,1998318448,1999230510,1999230511,1999310657,1998321958,1998321954,1998318449,1998321955,1998321956,1998321957,1998318451,1998318454,1998321961,1998321979,1998321972,1998321970,1998976396}"
1997396384,{1999277942}
1997399164,"{1999672241,1999672243,1999672244,1999672302,1999672431,1999672303,1999679439,1999679441,1999672769,1999760258,1999692564,1999692575,1999725709,1999689851,1999689835,1999689836,1999689863,1999689864,1999689866,1999689865,1999689869,1999679443,1999672727}"
1997393574,{1998896096}
1997396652,"{1999683711,1999683712,1999409061,1999409060,1999409059,1999409065,1999409062,1999409063,1999384313,1999552535}"
1997388378,"{1998439539,1998437853,1998437856,1999099866,1998437852,1998437851,1998361247,1998437103,1998437104,1998437849,1998437850,1998753171,1998858133}"
1997393757,"{1998920288,1999245951,1999245952,1998944199,1998920284,1998920285,1999033191}"
1997396147,"{1999727833,1999665678,1999687246,1999757173,1999757174,1999757175,1999460712,1999600371,1999671004,1999450078,1999687245,1999590360,1999540461,1999540463,1999590295,1999709851,1999709862,1999763996,1999763998,1999763997,1999763999,1999600369,1999724976,1999724997,1999724999,1999726543,1999450061,1999746571,1999590314}"
1997397498,"{1999471204,1999471213,1999471216,1999471220}"
1997387726,"{1998375443,1998375441,1998296787,1998375442}"
1997390023,"{1999713145,1999753616,1999733349,1999733354,1999733359,1999733345,1999733352,1999733360,1999733356,1998846784,1998886045,1998846787,1998886042,1998846802,1998887505,1998922009,1998921057,1998886044,1999733507,1999733509,1999733510,1999733516,1999733523,1999733527,1999733571,1999733517,1999733519,1999742422}"
1997395182,{1999158990}
1997389298,"{1998482542,1998429715,1998435408,1998463713,1998463717,1998605628}"
1997399121,{1999665072}
1586656041,{1999606043}
1997397253,"{1999392790,1999451021,1999541415,1999541421}"
1997395801,{1999223233}
1997395807,"{1999626691,1999626692,1999626694,1999626693,1999626695,1999707414,1999626697,1999626699,1999626700,1999626702,1999626705,1999626706,1999626709,1999613545,1999613476,1999626690,1999590322,1999591369,1999568590,1999613472,1999662074}"
1997395777,"{1999194187,1999194282,1999194280,1999194273,1999195547}"
1997395788,"{1999197258,1999194605,1999194613}"
1997391570,{1998636631}
1997395821,"{1999242719,1999306543}"
1997392564,"{1998769605,1998773317}"
1997397771,{1999665737}
1707761049,"{1999670377,1999670384,1999670387,1999261873,1999273704,1999273705,1999204579,1999273706,1999273707,1999273709,1999273710,1999273712,1999273713,1999273714,1999201130,1914926750,1999222181,1999222185,1999222182,1999222186,1999222187,1911617369,1914927389,1914932630,1998159592,1914922257,1914926597,1999201116,1999201118,1999528441,1999201119,1999201125,1999607901,1998709168,1999022231,1999022238,1999022237,1999600778,1999760687,1999388478,1911637666,1911638396,1914921234,1914915591,1911639222,1911638815,1998159593,1998179568,1914922003,1914927142,1914922700,1999201127,1999408460,1999408461,1999572833,1999572836,1999629568,1999629575,1999629570,1999022239,1999201123,1998275398,1999629572,1999629571,1999629567,1999699801,1999193094,1999699804,1999699806,1998275400,1998341712,1999154916,1999201121,1998395017,1999194346,1999200441,1999194343,1999194360,1999194356,1999193826,1999193095,1999200452,1999193088,1999193838,1999193090,1763988204,1914943929,1914930117,1914921121,1987665218,1998182978,1998447657,1998841831,1999032720,1999058925}"
1997395689,"{1999221491,1999408389,1999221506,1999221489,1999221484,1999221493,1999221479,1999221501,1999221519,1999221497}"
1997398706,"{1999713099,1999714847,1999714850,1999711619}"
1997391181,"{1999526629,1999526633,1999567387,1999526637,1999526635,1999526636,1999047629}"
1997397096,"{1999665731,1999360952,1999360977,1999668750}"
