client_id,instagrambrands
1997394960,"{1999101243,1999101241,1999101240,1999101248,1999101249,1999226297}"
1997394387,"{1999043978,1999044048,1999015350,1999015348,1999015352,1999043983,1999059427}"
1997393191,"{1998854526,1998854542}"
1506417155,"{1999120698,1999542806}"
1997398952,{1999669111}
1997393768,{1998946316}
1987294471,{1998803851}
1997385485,{1999248877}
1997394718,"{1999061989,1999061988,1999061985,1999061987,1999061982,1999061983,1999094299}"
1997394917,"{1999727076,1999727084,1999727090,1999095235,1999095262,1999101575,1999101572,1999101571,1999726106,1999617246,1999095283,1999136288,1999209345,1999094951,1999094898,1999094831,1999136285,1999136276,1999136275,1999155981,1999157317,1999161748,1999206749,1999206744,1999206748,1999206753,1999206769,1999216208,1999267858,1999267869,1999267855,1999305387}"
1997398905,"{1999664050,1999664102,1999729832,1999731335,1999664066}"
1719407673,"{1998652285,1998649722,1998648880,1998648885,1998652257,1998652270,1998652282,1998652303,1998649826,1998713515,1998713516,1998713518,1998713519,1998713525,1999291286,1999747260,1998649721,1999278066,1999738217,1998668985,1998647732,1998653349,1998908059,1999166120,1999170025,1998648435,1998648858,1998649576,1998649578,1998649581,1998649834,1998649823,1998649830,1998652161,1998652168,1998652273,1998652248,1998652304,1998652331,1998652335,1998652363,1998653467,1998653836,1998653860,1998668980,1998679273,1998700419,1998726434,1998765527,1998653332,1998929681,1998969853,1998972495,1998972496,1998972502,1998972498,1998972499,1998972501,1998972503,1998974290,1999013740,1999059077,1999111530,1999111538,1999111519,1999111527,1999111533,1999111534,1999111529,1999111528,1999111531,1999111521,1999158841,1999158844,1999158843,1999166118,1999166119,1999227494,1999228701,1999258837,1999258848,1999258842,1999258851,1999258852,1999258853,1999258838,1999258839,1999258857,1999258840,1999258841,1999258847,1999258844,1999258845,1999278058,1999291287,1999291289,1999389274}"
1997395690,"{1999185582,1999185583}"
1997392236,"{1998986701,1998986706,1998986698}"
1997385906,"{1998831606,1998676094,1998676108,1998676103,1998676101,1998826967,1998826969,1998826965,1998827350,1998827352,1998827355,1998827357,1998827330,1998827358,1998827359,1998828736,1998828690,1998828698,1998828694,1998828759,1998828864,1998829001,1998828946,1998828986,1998828927,1998828975,1998828983,1998831633,1998831635,1998831610,1998831636,1998831637,1998831641,1998831638,1998831639,1998908848,1998908851,1998956373,1998956397,1999035868,1999035869,1999035877}"
1997391161,"{1999711111,1999710057,1998980605,1999213485}"
1997389292,"{1998742117,1998724892,1998742102,1998742107,1998742110,1998742108,1998742104,1998742119,1998742120,1998833952,1998833951,1998949847,1998983900}"
1997394735,"{1999061497,1999061502,1999061519,1999061566}"
1997390162,{1999744768}
1997391723,"{1999300860,1998962061}"
1997394013,{1998959537}
1747578639,"{1999091808,1999127868,1999258061}"
1997394534,"{1999031505,1999031503,1999031511,1999031508}"
1997387692,{1998674167}
1997399164,"{1999672729,1999725865}"
1997390047,"{1998993850,1998993856,1998993859,1998993854,1998993862}"
1997388378,"{1998753148,1999099876,1999099873,1998753151,1998923310,1998753152}"
1997399332,{1999702248}
1997396147,"{1999731022,1999668313,1999665684}"
1997397498,{1999475952}
1997390023,"{1999733243,1998846811,1999748443,1998846777,1998846795,1998846808,1998846789}"
1586656041,{1999734391}
1997386931,"{1998951838,1999125331}"
1997397253,"{1999392791,1999450728}"
1984413441,{1999756124}
1997395807,{1999498160}
1997392853,"{1999053025,1999210631}"
1997399035,{1999672549}
1997398711,{1999752988}
1997395777,"{1999194188,1999194278,1999194276,1999194281}"
1718136566,"{1998821641,1999040253,1999040252}"
1963824172,{1998864164}
1997392888,{1998902433}
1997395788,{1999197260}
1997395821,{1999224976}
1997392564,{1998769609}
1997388856,"{1998579800,1998983649,1998579798,1998579799,1998590156,1998739851,1998783447,1998899000,1998964924,1998964930}"
1997392241,"{1998729693,1998729845}"
1997397771,{1999665741}
1707761049,"{1999186837,1999222165,1999186822,1999186827,1999186821,1999186829,1999186840,1999736957,1999736914,1999688756,1999186824,1999684275,1999186836,1999222164,1999273764,1999222159,1999699808,1999186832,1999186833,1999222161,1998649569,1999273748,1999247855,1998647819,1998684624,1998841830,1998865082,1999596951,1999597144,1999022250,1999022249,1999022247,1999022248,1999027838,1999032723,1999058927,1999186825,1999186826,1999186828,1999186830,1999186831,1999186839,1999186835,1999186841,1999186843,1999201179,1999201180,1999201187,1999201184,1999204585,1999222169,1999222167,1999222170,1999222162,1999223101,1999273751,1999273743,1999273762,1999273750,1999273763,1999388899,1999408473,1999528461}"
1997395689,"{1999221480,1999221498,1999221494,1999221502,1999221486,1999221523,1999221509}"
1997391181,{1999182627}
1993820447,{1998746379}
1997397481,{1999573349}
1997397096,"{1999370874,1999370803,1999370887}"
1997396280,"{1999305224,1999305225,1999262297,1999305234,1999305226,1999305881}"
1997399466,"{1999753496,1999762284}"
1845987838,"{1999641260,1998652492,1998652085,1999641254,1999641251,1999641258,1999641256,1999641263,1999641255,1999641266,1999641264,1999641265,1999038526,1998652506,1998652512,1998652513,1998652514,1998652515,1998652517,1998652498,1998652519,1998652522,1998652496,1998652505,1998652510,1998652508,1998652509,1998652507,1998652511,1998684023,1998684026,1998684030,1999121687,1999121691,1999121693,1999121637}"
1997386148,"{1998669779,1998670862,1998739702,1999372262}"
1997399334,{1999727496}
1997390733,{1999211895}
1997388777,{1998735389}
1997395628,{1999227546}
1997396680,{1999302188}
1609713690,"{1998725894,1998983382,1998794943,1998794945,1998810607,1999040616}"
1870896699,{1999698286}
1997399075,"{1999763955,1999763963}"
693895744,{1998991707}
1997391941,"{1999176949,1999203323,1999203366,1999203410,1999203450,1999203555,1999203506,1999203556,1999203673,1999204589}"
1997394248,{1999013612}
1997394009,{1999172294}
1997393857,"{1998965893,1998937055,1998938144,1998932313,1998932361,1998937209,1998932333,1998932281,1998932286,1998932236,1998932187,1998932290,1998932293,1998932250,1998932360,1998932320,1998937080,1998937109,1998937183,1998937150,1998937228,1998937255,1998937451,1998937452,1998938351,1998938320,1998938251,1998938275,1998976613}"
1997394943,"{1999402866,1999649161,1999649162,1999649165,1999649166,1999649167,1999650055,1999747804}"
1997397712,{1999550141}
1997396166,"{1999245762,1999245759,1999245766}"
1997393417,{1998880469}
1324273059,"{1999701482,1999674995}"
1997396268,{1999261299}
1997389110,"{1998726373,1998855517,1998917797,1999047555,1998690593,1998855516,1998726224,1998855521,1998917822,1998689757,1998689750,1998689752,1998690595,1998726194,1998726197,1998726190,1998726200,1998726217,1998726203,1998726209,1998726213,1998726211,1998726220,1998726223,1998726378,1998726375,1998726376,1998726380,1998726382,1998726383,1998726384,1998726386,1998780984,1998855522,1998855529,1998855528,1998855518,1998855520,1998855523,1998855525,1998855527,1998917825,1998917842,1998917871,1998917829,1998917851}"
1997393760,{1999396603}
